site,site_type,site_type_season,site_type_season_old,Mesic,Oasis,Xeric
wi_19_7-11A,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_7-11B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_7-11C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AA-9,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AA-9B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AA-9C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Q-15,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Q-15B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Q-15C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_R-18,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_R-18B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_R-18C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-18,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-18B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-18C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-21,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-21B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-21C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_V-14B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_V-14C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_W-15B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_W-15C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_X-17,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_X-17B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_X-17C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
sp_19_7-11A,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_7-11B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_7-11C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AA-9,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AA-9B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AA-9C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Q-15,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Q-15B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Q-15C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_R-18,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_R-18B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_R-18C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-18,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-18B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-18C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-21,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-21B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-21C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_V-14B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_V-14C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_W-15B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_W-15C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_X-17,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_X-17B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_X-17C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
au_2000_AA-17,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AA-20,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AB-19,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AC-16,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AD-10,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AD-21,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AE-23,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AF-12,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_T-11,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_T-13,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_U-12,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_V-13,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_V-14,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_W-15,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_W-17,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_W-6,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_X-8,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_Y-19,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_Z-23,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2001_AA-17,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AA-20,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AB-19,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AC-16,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AD-21,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AE-23,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AF-12,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_G-15,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_I-11,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_I-17,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_M-16,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_R-12,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_T-11,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_T-13,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_T-19,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_U-12,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_U-13,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_V-18,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_V-20,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_W-6,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_X-8,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_Y-19,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_Z-23,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2002_AA-17,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_AC-16,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_F-8,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_G-15,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_I-11,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_I-17,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_L-7,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_M-16,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_N-12,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_R-12,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_X-18,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_Y-19,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2003_AA-20,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_AB-19,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_AD-21,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_AE-23,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_I-11,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_N-12,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_U-8,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_V-13,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_V-14,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_V-20,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_W-6,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_X-18,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_X-8,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2003_Z-23,ESCA_august,ESCA-Aug_2000-05,au_03,NA,NA,NA
au_2004_V-16,ESCA_august,ESCA-Aug_2000-05,au_04,NA,NA,NA
au_2004_W-15,ESCA_august,ESCA-Aug_2000-05,au_04,NA,NA,NA
au_2004_W-17,ESCA_august,ESCA-Aug_2000-05,au_04,NA,NA,NA
au_2004_X-18,ESCA_august,ESCA-Aug_2000-05,au_04,NA,NA,NA
au_2004_Y-19,ESCA_august,ESCA-Aug_2000-05,au_04,NA,NA,NA
au_2005_AA-20,ESCA_august,ESCA-Aug_2000-05,au_05,NA,NA,NA
au_2005_AB-19,ESCA_august,ESCA-Aug_2000-05,au_05,NA,NA,NA
au_2005_U-13,ESCA_august,ESCA-Aug_2000-05,au_05,NA,NA,NA
au_2005_V-13,ESCA_august,ESCA-Aug_2000-05,au_05,NA,NA,NA
au_2005_V-16,ESCA_august,ESCA-Aug_2000-05,au_05,NA,NA,NA
au_2005_V-20,ESCA_august,ESCA-Aug_2000-05,au_05,NA,NA,NA
au_2005_Z-23,ESCA_august,ESCA-Aug_2000-05,au_05,NA,NA,NA
wi_19_AB-19,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AD-10,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AE-23,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AF-12,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_F-8,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_G-15,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_I-17,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_N-12,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_O-9,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_P-16,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_T-11,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_T-13,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_T-19,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-12,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-13,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-8,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_V-14,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_V-20,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_W-15,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_X-8,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Y-19,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Z-23,ESCA_2019_winter,Winter_2008-19,wi_19,NA,NA,NA
sp_19_AB-19,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AD-10,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AE-23,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AF-12,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_F-8,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_G-15,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_I-17,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_N-12,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_O-9,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_P-16,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_T-11,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_T-13,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_T-19,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-12,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-13,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-8,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_V-14,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_V-20,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_W-15,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_X-8,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Y-19,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Z-23,ESCA_2019_spring,Spring_2008-19,sp_19,NA,NA,NA
Gammage_A,Gammage,Gammage-Aug_2022,Gammage,0.4,0.2,0
Gammage_B,Gammage,Gammage-Aug_2022,Gammage,0.4,0.2,0
Gammage_C,Gammage,Gammage-Aug_2022,Gammage,0.4,0.2,0
wi_08_aa17,PASS,Winter_2008-19,wi_08_PASS,0.14,0,0.43
wi_08_AA18,PASS,Winter_2008-19,wi_08_PASS,0.2,0,0.2
wi_08_aa20,PASS,Winter_2008-19,wi_08_PASS,0.31,0.38,0.31
wi_08_AA9,PASS,Winter_2008-19,wi_08_PASS,0,0,1
wi_08_AB18,PASS,Winter_2008-19,wi_08_PASS,0,0.33,0.33
wi_08_ab19,PASS,Winter_2008-19,wi_08_PASS,0.23,0.46,0.23
wi_08_AB20,PASS,Winter_2008-19,wi_08_PASS,0.13,0.25,0.5
wi_08_AE18,PASS,Winter_2008-19,wi_08_PASS,0,0,1
wi_08_ae23,PASS,Winter_2008-19,wi_08_PASS,0.22,0.44,0.22
wi_08_AF19,PASS,Winter_2008-19,wi_08_PASS,0,0.27,0.73
wi_08_ENC,PASS,Winter_2008-19,wi_08_PASS,0.27,0.45,0.09
wi_08_O11,PASS,Winter_2008-19,wi_08_PASS,0,0,0.92
wi_08_P13,PASS,Winter_2008-19,wi_08_PASS,0,0.2,0.4
wi_08_Q15,PASS,Winter_2008-19,wi_08_PASS,0,0.3,0.5
wi_08_R11,PASS,Winter_2008-19,wi_08_PASS,0.08,0.25,0.33
wi_08_R13,PASS,Winter_2008-19,wi_08_PASS,0,0.5,0.5
wi_08_R15,PASS,Winter_2008-19,wi_08_PASS,0.13,0.25,0.25
wi_08_R18,PASS,Winter_2008-19,wi_08_PASS,0.25,0.25,0.17
wi_08_S11,PASS,Winter_2008-19,wi_08_PASS,0.22,0.22,0.33
wi_08_S19,PASS,Winter_2008-19,wi_08_PASS,0,0.11,0.78
wi_08_T14,PASS,Winter_2008-19,wi_08_PASS,0,0.1,0.3
wi_08_T15,PASS,Winter_2008-19,wi_08_PASS,0,0,0
wi_08_U15,PASS,Winter_2008-19,wi_08_PASS,0.1,0,0
wi_08_U18,PASS,Winter_2008-19,wi_08_PASS,0.23,0.23,0
wi_08_U21,PASS,Winter_2008-19,wi_08_PASS,0,0.08,0.75
wi_08_V11,PASS,Winter_2008-19,wi_08_PASS,0.33,0.11,0.22
wi_08_v14,PASS,Winter_2008-19,wi_08_PASS,0.44,0.11,0
wi_08_v16,PASS,Winter_2008-19,wi_08_PASS,0.17,0.17,0.17
wi_08_w15,PASS,Winter_2008-19,wi_08_PASS,0,0.08,0.92
wi_08_w9,PASS,Winter_2008-19,wi_08_PASS,0.1,0.1,0.8
wi_08_X16,PASS,Winter_2008-19,wi_08_PASS,0.22,0.11,0.56
wi_08_X17,PASS,Winter_2008-19,wi_08_PASS,0.14,0,0
wi_08_Y10,PASS,Winter_2008-19,wi_08_PASS,0.11,0.22,0.56
wi_08_Y18,PASS,Winter_2008-19,wi_08_PASS,0,0.13,0
wi_08_Y6,PASS,Winter_2008-19,wi_08_PASS,0,0,0.71
wi_08_Z18,PASS,Winter_2008-19,wi_08_PASS,0.11,0,0
wi_08_Z20,PASS,Winter_2008-19,wi_08_PASS,0.26,0.32,0.32
wi_08_Z21,PASS,Winter_2008-19,wi_08_PASS,0.5,0.33,0.08
wi_08_z23,PASS,Winter_2008-19,wi_08_PASS,0.14,0.43,0.14
sp_08_aa17,PASS,Spring_2008-19,sp_08_PASS,0.14,0,0.43
sp_08_AA18,PASS,Spring_2008-19,sp_08_PASS,0.2,0,0.2
sp_08_aa20,PASS,Spring_2008-19,sp_08_PASS,0.31,0.38,0.31
sp_08_AA9,PASS,Spring_2008-19,sp_08_PASS,0,0,1
sp_08_AB18,PASS,Spring_2008-19,sp_08_PASS,0,0.33,0.33
sp_08_ab19,PASS,Spring_2008-19,sp_08_PASS,0.23,0.46,0.23
sp_08_AB20,PASS,Spring_2008-19,sp_08_PASS,0.13,0.25,0.5
sp_08_AE18,PASS,Spring_2008-19,sp_08_PASS,0,0,1
sp_08_ae23,PASS,Spring_2008-19,sp_08_PASS,0.22,0.44,0.22
sp_08_AF19,PASS,Spring_2008-19,sp_08_PASS,0,0.27,0.73
sp_08_ENC,PASS,Spring_2008-19,sp_08_PASS,0.27,0.45,0.09
sp_08_O11,PASS,Spring_2008-19,sp_08_PASS,0,0,0.92
sp_08_P13,PASS,Spring_2008-19,sp_08_PASS,0,0.2,0.4
sp_08_Q15,PASS,Spring_2008-19,sp_08_PASS,0,0.3,0.5
sp_08_R11,PASS,Spring_2008-19,sp_08_PASS,0.08,0.25,0.33
sp_08_R13,PASS,Spring_2008-19,sp_08_PASS,0,0.5,0.5
sp_08_R15,PASS,Spring_2008-19,sp_08_PASS,0.13,0.25,0.25
sp_08_R18,PASS,Spring_2008-19,sp_08_PASS,0.25,0.25,0.17
sp_08_S11,PASS,Spring_2008-19,sp_08_PASS,0.22,0.22,0.33
sp_08_S19,PASS,Spring_2008-19,sp_08_PASS,0,0.11,0.78
sp_08_T14,PASS,Spring_2008-19,sp_08_PASS,0,0.1,0.3
sp_08_T15,PASS,Spring_2008-19,sp_08_PASS,0,0,0
sp_08_U15,PASS,Spring_2008-19,sp_08_PASS,0.1,0,0
sp_08_U18,PASS,Spring_2008-19,sp_08_PASS,0.23,0.23,0
sp_08_U21,PASS,Spring_2008-19,sp_08_PASS,0,0.08,0.75
sp_08_V11,PASS,Spring_2008-19,sp_08_PASS,0.33,0.11,0.22
sp_08_v14,PASS,Spring_2008-19,sp_08_PASS,0.44,0.11,0
sp_08_v16,PASS,Spring_2008-19,sp_08_PASS,0.17,0.17,0.17
sp_08_w15,PASS,Spring_2008-19,sp_08_PASS,0,0.08,0.92
sp_08_w9,PASS,Spring_2008-19,sp_08_PASS,0.1,0.1,0.8
sp_08_X16,PASS,Spring_2008-19,sp_08_PASS,0.22,0.11,0.56
sp_08_X17,PASS,Spring_2008-19,sp_08_PASS,0.14,0,0
sp_08_Y10,PASS,Spring_2008-19,sp_08_PASS,0.11,0.22,0.56
sp_08_Y18,PASS,Spring_2008-19,sp_08_PASS,0,0.13,0
sp_08_Y6,PASS,Spring_2008-19,sp_08_PASS,0,0,0.71
sp_08_Z18,PASS,Spring_2008-19,sp_08_PASS,0.11,0,0
sp_08_Z20,PASS,Spring_2008-19,sp_08_PASS,0.26,0.32,0.32
sp_08_Z21,PASS,Spring_2008-19,sp_08_PASS,0.5,0.33,0.08
sp_08_z23,PASS,Spring_2008-19,sp_08_PASS,0.14,0.43,0.14
wi_12_aa17,PASS,Winter_2008-19,wi_12_PASS,0.14,0.29,0.43
wi_12_AA18,PASS,Winter_2008-19,wi_12_PASS,0.2,0,0
wi_12_aa20,PASS,Winter_2008-19,wi_12_PASS,0.15,0.31,0.38
wi_12_AA9,PASS,Winter_2008-19,wi_12_PASS,0,0,0.86
wi_12_AB18,PASS,Winter_2008-19,wi_12_PASS,0,0,0.33
wi_12_ab19,PASS,Winter_2008-19,wi_12_PASS,0.23,0.31,0.31
wi_12_AB20,PASS,Winter_2008-19,wi_12_PASS,0.13,0.38,0.38
wi_12_AE18,PASS,Winter_2008-19,wi_12_PASS,0,0.17,0.83
wi_12_ae23,PASS,Winter_2008-19,wi_12_PASS,0.44,0.11,0.22
wi_12_AF19,PASS,Winter_2008-19,wi_12_PASS,0,0.27,0.73
wi_12_ENC,PASS,Winter_2008-19,wi_12_PASS,0.55,0.27,0
wi_12_O11,PASS,Winter_2008-19,wi_12_PASS,0,0,0.83
wi_12_P13,PASS,Winter_2008-19,wi_12_PASS,0,0.6,0
wi_12_Q15,PASS,Winter_2008-19,wi_12_PASS,0,0.1,0.5
wi_12_R11,PASS,Winter_2008-19,wi_12_PASS,0.17,0.08,0.67
wi_12_R13,PASS,Winter_2008-19,wi_12_PASS,0.33,0.33,0.17
wi_12_R15,PASS,Winter_2008-19,wi_12_PASS,0.13,0.13,0.13
wi_12_R18,PASS,Winter_2008-19,wi_12_PASS,0.08,0.25,0.42
wi_12_S11,PASS,Winter_2008-19,wi_12_PASS,0.11,0.56,0.22
wi_12_S19,PASS,Winter_2008-19,wi_12_PASS,0,0.22,0.56
wi_12_T14,PASS,Winter_2008-19,wi_12_PASS,0,0,0.2
wi_12_T15,PASS,Winter_2008-19,wi_12_PASS,0,0,0
wi_12_U15,PASS,Winter_2008-19,wi_12_PASS,0.2,0,0.1
wi_12_U18,PASS,Winter_2008-19,wi_12_PASS,0.08,0.15,0
wi_12_U21,PASS,Winter_2008-19,wi_12_PASS,0,0.25,0.67
wi_12_V11,PASS,Winter_2008-19,wi_12_PASS,0.11,0.22,0.56
wi_12_v14,PASS,Winter_2008-19,wi_12_PASS,0,0.22,0.11
wi_12_v16,PASS,Winter_2008-19,wi_12_PASS,0.17,0.33,0
wi_12_w15,PASS,Winter_2008-19,wi_12_PASS,0,0.25,0.58
wi_12_w9,PASS,Winter_2008-19,wi_12_PASS,0,0.2,0.4
wi_12_X16,PASS,Winter_2008-19,wi_12_PASS,0.11,0.22,0.22
wi_12_X17,PASS,Winter_2008-19,wi_12_PASS,0.14,0,0
wi_12_Y10,PASS,Winter_2008-19,wi_12_PASS,0,0.22,0.67
wi_12_Y18,PASS,Winter_2008-19,wi_12_PASS,0.13,0,0.13
wi_12_Y6,PASS,Winter_2008-19,wi_12_PASS,0,0,0.86
wi_12_Z18,PASS,Winter_2008-19,wi_12_PASS,0.11,0,0
wi_12_Z20,PASS,Winter_2008-19,wi_12_PASS,0.32,0.21,0.26
wi_12_Z21,PASS,Winter_2008-19,wi_12_PASS,0.25,0.25,0.08
wi_12_z23,PASS,Winter_2008-19,wi_12_PASS,0,0.43,0.14
sp_12_aa17,PASS,Spring_2008-19,sp_12_PASS,0.14,0.29,0.43
sp_12_AA18,PASS,Spring_2008-19,sp_12_PASS,0.2,0,0
sp_12_aa20,PASS,Spring_2008-19,sp_12_PASS,0.15,0.31,0.38
sp_12_AA9,PASS,Spring_2008-19,sp_12_PASS,0,0,0.86
sp_12_AB18,PASS,Spring_2008-19,sp_12_PASS,0,0,0.33
sp_12_ab19,PASS,Spring_2008-19,sp_12_PASS,0.23,0.31,0.31
sp_12_AB20,PASS,Spring_2008-19,sp_12_PASS,0.13,0.38,0.38
sp_12_AE18,PASS,Spring_2008-19,sp_12_PASS,0,0.17,0.83
sp_12_ae23,PASS,Spring_2008-19,sp_12_PASS,0.44,0.11,0.22
sp_12_AF19,PASS,Spring_2008-19,sp_12_PASS,0,0.27,0.73
sp_12_ENC,PASS,Spring_2008-19,sp_12_PASS,0.55,0.27,0
sp_12_O11,PASS,Spring_2008-19,sp_12_PASS,0,0,0.83
sp_12_P13,PASS,Spring_2008-19,sp_12_PASS,0,0.6,0
sp_12_Q15,PASS,Spring_2008-19,sp_12_PASS,0,0.1,0.5
sp_12_R11,PASS,Spring_2008-19,sp_12_PASS,0.17,0.08,0.67
sp_12_R13,PASS,Spring_2008-19,sp_12_PASS,0.33,0.33,0.17
sp_12_R15,PASS,Spring_2008-19,sp_12_PASS,0.13,0.13,0.13
sp_12_R18,PASS,Spring_2008-19,sp_12_PASS,0.08,0.25,0.42
sp_12_S11,PASS,Spring_2008-19,sp_12_PASS,0.11,0.56,0.22
sp_12_S19,PASS,Spring_2008-19,sp_12_PASS,0,0.22,0.56
sp_12_T14,PASS,Spring_2008-19,sp_12_PASS,0,0,0.2
sp_12_T15,PASS,Spring_2008-19,sp_12_PASS,0,0,0
sp_12_U15,PASS,Spring_2008-19,sp_12_PASS,0.2,0,0.1
sp_12_U18,PASS,Spring_2008-19,sp_12_PASS,0.08,0.15,0
sp_12_U21,PASS,Spring_2008-19,sp_12_PASS,0,0.25,0.67
sp_12_V11,PASS,Spring_2008-19,sp_12_PASS,0.11,0.22,0.56
sp_12_v14,PASS,Spring_2008-19,sp_12_PASS,0,0.22,0.11
sp_12_v16,PASS,Spring_2008-19,sp_12_PASS,0.17,0.33,0
sp_12_w15,PASS,Spring_2008-19,sp_12_PASS,0,0.25,0.58
sp_12_w9,PASS,Spring_2008-19,sp_12_PASS,0,0.2,0.4
sp_12_X16,PASS,Spring_2008-19,sp_12_PASS,0.11,0.22,0.22
sp_12_X17,PASS,Spring_2008-19,sp_12_PASS,0.14,0,0
sp_12_Y10,PASS,Spring_2008-19,sp_12_PASS,0,0.22,0.67
sp_12_Y18,PASS,Spring_2008-19,sp_12_PASS,0.13,0,0.13
sp_12_Y6,PASS,Spring_2008-19,sp_12_PASS,0,0,0.86
sp_12_Z18,PASS,Spring_2008-19,sp_12_PASS,0.11,0,0
sp_12_Z20,PASS,Spring_2008-19,sp_12_PASS,0.32,0.21,0.26
sp_12_Z21,PASS,Spring_2008-19,sp_12_PASS,0.25,0.25,0.08
sp_12_z23,PASS,Spring_2008-19,sp_12_PASS,0,0.43,0.14